Assembly	assembly.clean
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	5
# contigs (>= 10000 bp)	4
# contigs (>= 25000 bp)	4
# contigs (>= 50000 bp)	4
Total length (>= 0 bp)	2598449
Total length (>= 1000 bp)	2598449
Total length (>= 5000 bp)	2598449
Total length (>= 10000 bp)	2588578
Total length (>= 25000 bp)	2588578
Total length (>= 50000 bp)	2588578
# contigs	5
Largest contig	1329062
Total length	2598449
GC (%)	59.56
N50	1329062
N90	1030693
auN	1099698.1
L50	1
L90	2
# N's per 100 kbp	0.00
