# packages in environment at /mount/britton/Jose/conda-envs/NanoPlot:
#
# Name                              Version          Build                 Channel
_libgcc_mutex                       0.1              conda_forge           conda-forge
_openmp_mutex                       4.5              2_gnu                 conda-forge
aws-c-auth                          0.9.0            h0fbd49f_19           conda-forge
aws-c-cal                           0.9.2            he7b75e1_1            conda-forge
aws-c-common                        0.12.4           hb03c661_0            conda-forge
aws-c-compression                   0.3.1            h92c474e_6            conda-forge
aws-c-event-stream                  0.5.5            h149bd38_3            conda-forge
aws-c-http                          0.10.4           h37a7233_0            conda-forge
aws-c-io                            0.21.2           h6252d9a_1            conda-forge
aws-c-mqtt                          0.13.3           h19deb91_3            conda-forge
aws-c-s3                            0.8.6            h800fcd2_2            conda-forge
aws-c-sdkutils                      0.2.4            h92c474e_1            conda-forge
aws-checksums                       0.2.7            h92c474e_2            conda-forge
aws-crt-cpp                         0.33.1           hb4fd278_2            conda-forge
aws-sdk-cpp                         1.11.606         h31ade35_1            conda-forge
azure-core-cpp                      1.16.0           h3a458e0_0            conda-forge
azure-identity-cpp                  1.12.0           ha729027_0            conda-forge
azure-storage-blobs-cpp             12.14.0          hb1c9500_1            conda-forge
azure-storage-common-cpp            12.10.0          hebae86a_2            conda-forge
azure-storage-files-datalake-cpp    12.12.0          h8b27e44_3            conda-forge
biopython                           1.85             py313h536fd9c_1       conda-forge
bzip2                               1.0.8            h4bc722e_7            conda-forge
c-ares                              1.34.5           hb9d3cd8_0            conda-forge
ca-certificates                     2025.8.3         hbd8a1cb_0            conda-forge
choreographer                       1.0.9            pyhe01879c_0          conda-forge
gflags                              2.2.2            h5888daf_1005         conda-forge
glog                                0.7.1            hbabe93e_0            conda-forge
keyutils                            1.6.1            h166bdaf_0            conda-forge
krb5                                1.21.3           h659f571_0            conda-forge
ld_impl_linux-64                    2.44             h1423503_1            conda-forge
libabseil                           20250512.1       cxx17_hba17884_0      conda-forge
libarrow                            21.0.0           hb116c0f_1_cpu        conda-forge
libarrow-acero                      21.0.0           h635bf11_1_cpu        conda-forge
libarrow-compute                    21.0.0           he319acf_1_cpu        conda-forge
libarrow-dataset                    21.0.0           h635bf11_1_cpu        conda-forge
libarrow-substrait                  21.0.0           h3f74fd7_1_cpu        conda-forge
libblas                             3.9.0            34_h59b9bed_openblas  conda-forge
libbrotlicommon                     1.1.0            hb9d3cd8_3            conda-forge
libbrotlidec                        1.1.0            hb9d3cd8_3            conda-forge
libbrotlienc                        1.1.0            hb9d3cd8_3            conda-forge
libcblas                            3.9.0            34_he106b2a_openblas  conda-forge
libcrc32c                           1.1.2            h9c3ff4c_0            conda-forge
libcurl                             8.14.1           h332b0f4_0            conda-forge
libdeflate                          1.22             hb9d3cd8_0            conda-forge
libedit                             3.1.20250104     pl5321h7949ede_0      conda-forge
libev                               4.33             hd590300_2            conda-forge
libevent                            2.1.12           hf998b51_1            conda-forge
libexpat                            2.7.1            hecca717_0            conda-forge
libffi                              3.4.6            h2dba641_1            conda-forge
libgcc                              15.1.0           h767d61c_4            conda-forge
libgcc-ng                           15.1.0           h69a702a_4            conda-forge
libgfortran                         15.1.0           h69a702a_4            conda-forge
libgfortran5                        15.1.0           hcea5267_4            conda-forge
libgomp                             15.1.0           h767d61c_4            conda-forge
libgoogle-cloud                     2.39.0           hdb79228_0            conda-forge
libgoogle-cloud-storage             2.39.0           hdbdcf42_0            conda-forge
