# packages in environment at /mount/britton/Jose/conda-envs/pypolca:
#
# Name                     Version          Build                 Channel
_libgcc_mutex              0.1              conda_forge           conda-forge
_openmp_mutex              4.5              2_gnu                 conda-forge
biopython                  1.85             py313h536fd9c_1       conda-forge
bwa                        0.7.19           h577a1d6_1            bioconda
bzip2                      1.0.8            h4bc722e_7            conda-forge
c-ares                     1.34.5           hb9d3cd8_0            conda-forge
ca-certificates            2025.8.3         hbd8a1cb_0            conda-forge
click                      8.2.1            pyh707e725_0          conda-forge
fastahack                  2016.07.2        h4ac6f70_6            bioconda
freebayes                  1.3.10           hbefcdb2_0            bioconda
htslib                     1.22.1           h566b1c6_0            bioconda
keyutils                   1.6.1            h166bdaf_0            conda-forge
krb5                       1.21.3           h659f571_0            conda-forge
ld_impl_linux-64           2.44             h1423503_1            conda-forge
libasprintf                0.25.1           h3f43e3d_1            conda-forge
libblas                    3.9.0            34_h59b9bed_openblas  conda-forge
libcblas                   3.9.0            34_he106b2a_openblas  conda-forge
libcurl                    8.14.1           h332b0f4_0            conda-forge
libdeflate                 1.22             hb9d3cd8_0            conda-forge
libedit                    3.1.20250104     pl5321h7949ede_0      conda-forge
libev                      4.33             hd590300_2            conda-forge
libexpat                   2.7.1            hecca717_0            conda-forge
libffi                     3.4.6            h2dba641_1            conda-forge
libgcc                     15.1.0           h767d61c_4            conda-forge
libgcc-ng                  15.1.0           h69a702a_4            conda-forge
libgettextpo               0.25.1           h3f43e3d_1            conda-forge
libgfortran                15.1.0           h69a702a_4            conda-forge
libgfortran5               15.1.0           hcea5267_4            conda-forge
libgomp                    15.1.0           h767d61c_4            conda-forge
libiconv                   1.18             h4ce23a2_1            conda-forge
libidn2                    2.3.8            ha4ef2c3_0            conda-forge
liblapack                  3.9.0            34_h7ac8fdf_openblas  conda-forge
liblzma                    5.8.1            hb9d3cd8_2            conda-forge
libmpdec                   4.0.0            hb9d3cd8_0            conda-forge
libnghttp2                 1.64.0           h161d5f1_0            conda-forge
libopenblas                0.3.30           pthreads_h94d23a6_1   conda-forge
libsqlite                  3.50.4           h0c1763c_0            conda-forge
libssh2                    1.11.1           hcf80075_0            conda-forge
libstdcxx                  15.1.0           h8f9b012_4            conda-forge
libstdcxx-ng               15.1.0           h4852527_4            conda-forge
libunistring               0.9.10           h7f98852_0            conda-forge
libuuid                    2.38.1           h0b41bf4_0            conda-forge
libxcrypt                  4.4.36           hd590300_1            conda-forge
libzlib                    1.3.1            hb9d3cd8_2            conda-forge
loguru                     0.7.3            pyh707e725_0          conda-forge
ncurses                    6.5              h2d0b736_3            conda-forge
numpy                      2.3.2            py313hf6604e3_0       conda-forge
openssl                    3.5.2            h26f9b46_0            conda-forge
pandas                     2.3.1            py313h08cd8bf_0       conda-forge
parallel                   20160622         1                     bioconda
perl                       5.32.1           7_hd590300_perl5      conda-forge
perl-threaded              5.32.1           hdfd78af_1            bioconda
pip                        25.2             pyh145f28c_0          conda-forge
pypolca                    0.3.1            pyhdfd78af_1          bioconda
python                     3.13.5           hec9711d_102_cp313    conda-forge
python-dateutil            2.9.0.post0      pyhe01879c_2          conda-forge
python-tzdata              2025.2           pyhd8ed1ab_0          conda-forge
python_abi                 3.13             8_cp313               conda-forge
pytz                       2025.2           pyhd8ed1ab_0          conda-forge
pyyaml                     6.0.2            py313h8060acc_2       conda-forge
readline                   8.2              h8c095d6_2            conda-forge
samtools                   1.22.1           h96c455f_0            bioconda
seqlib                     1.2.0            hbefcdb2_0            bioconda
six                        1.17.0           pyhe01879c_1          conda-forge
tabixpp                    1.1.2            hbefcdb2_4            bioconda
tk                         8.6.13           noxft_hd72426e_102    conda-forge
tzdata                     2025b            h78e105d_0            conda-forge
vcflib                     1.0.14           h34261f4_0            bioconda
wget                       1.21.4           hda4d442_0            conda-forge
yaml                       0.2.5            h280c20c_3            conda-forge
zlib                       1.3.1            hb9d3cd8_2            conda-forge
zstd                       1.5.7            hb8e6e7a_2            conda-forge
