# packages in environment at /mount/britton/Jose/conda-envs/quast:
#
# Name                        Version          Build                  Channel
_libgcc_mutex                 0.1              conda_forge            conda-forge
_openmp_mutex                 4.5              2_gnu                  conda-forge
alsa-lib                      1.2.13           hb9d3cd8_0             conda-forge
bedtools                      2.31.1           h13024bc_3             bioconda
blast                         2.16.0           h66d330f_4             bioconda
brotli                        1.1.0            hb9d3cd8_2             conda-forge
brotli-bin                    1.1.0            hb9d3cd8_2             conda-forge
bwa                           0.7.19           h577a1d6_0             bioconda
bzip2                         1.0.8            h4bc722e_7             conda-forge
c-ares                        1.34.4           hb9d3cd8_0             conda-forge
ca-certificates               2025.1.31        hbcca054_0             conda-forge
cairo                         1.18.4           h3394656_0             conda-forge
circos                        0.69.9           hdfd78af_0             bioconda
contourpy                     1.3.1            py313h33d0bda_0        conda-forge
curl                          8.12.1           h332b0f4_0             conda-forge
cycler                        0.12.1           pyhd8ed1ab_1           conda-forge
entrez-direct                 22.4             he881be0_0             bioconda
expat                         2.6.4            h5888daf_0             conda-forge
font-ttf-dejavu-sans-mono     2.37             hab24e00_0             conda-forge
font-ttf-inconsolata          3.000            h77eed37_0             conda-forge
font-ttf-source-code-pro      2.038            h77eed37_0             conda-forge
font-ttf-ubuntu               0.83             h77eed37_3             conda-forge
fontconfig                    2.15.0           h7e30c49_1             conda-forge
fonts-conda-ecosystem         1                0                      conda-forge
fonts-conda-forge             1                0                      conda-forge
fonttools                     4.56.0           py313h8060acc_0        conda-forge
freetype                      2.13.3           h48d6fc4_0             conda-forge
giflib                        5.2.2            hd590300_0             conda-forge
glimmerhmm                    3.0.4            pl5321h503566f_9       bioconda
graphite2                     1.3.13           h59595ed_1003          conda-forge
harfbuzz                      10.4.0           h76408a6_0             conda-forge
icu                           75.1             he02047a_0             conda-forge
joblib                        1.4.2            pyhd8ed1ab_1           conda-forge
k8                            1.2              he8db53b_5             bioconda
kernel-headers_linux-64       3.10.0           he073ed8_18            conda-forge
keyutils                      1.6.1            h166bdaf_0             conda-forge
kiwisolver                    1.4.7            py313h33d0bda_0        conda-forge
krb5                          1.21.3           h659f571_0             conda-forge
lcms2                         2.17             h717163a_0             conda-forge
ld_impl_linux-64              2.43             h712a8e2_4             conda-forge
lerc                          4.0.0            h27087fc_0             conda-forge
libasprintf                   0.23.1           h8e693c7_0             conda-forge
libblas                       3.9.0            31_h59b9bed_openblas   conda-forge
libbrotlicommon               1.1.0            hb9d3cd8_2             conda-forge
libbrotlidec                  1.1.0            hb9d3cd8_2             conda-forge
libbrotlienc                  1.1.0            hb9d3cd8_2             conda-forge
libcblas                      3.9.0            31_he106b2a_openblas   conda-forge
libcups                       2.3.3            h4637d8d_4             conda-forge
libcurl                       8.12.1           h332b0f4_0             conda-forge
libdeflate                    1.23             h4ddbbb0_0             conda-forge
libedit                       3.1.20250104     pl5321h7949ede_0       conda-forge
libev                         4.33             hd590300_2             conda-forge
libexpat                      2.6.4            h5888daf_0             conda-forge
libffi                        3.4.6            h2dba641_0             conda-forge
libgcc                        14.2.0           h767d61c_2             conda-forge
libgcc-ng                     14.2.0           h69a702a_2             conda-forge
libgd                         2.3.3            h6f5c62b_11            conda-forge
libgettextpo                  0.23.1           h5888daf_0             conda-forge
libgfortran                   14.2.0           h69a702a_2             conda-forge
libgfortran5                  14.2.0           hf1ad2bd_2             conda-forge
