#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	31637	32068	-	HKCHME_00140	15.9	5.4		RefSeq:WP_058116704.1, SO:0001217, UniParc:UPI00071AB8B9, UniRef:UniRef100_A0A0S2VZD0, UniRef:UniRef50_A0A9D1Z3S2, UniRef:UniRef90_A0A0S2VZD0
contig_1	33566	33958	-	HKCHME_00155	14.4	4.5		RefSeq:WP_058116705.1, SO:0001217, UniParc:UPI00071AE4D6, UniRef:UniRef100_A0A0S2VZA5, UniRef:UniRef50_A0A0S2VZA5, UniRef:UniRef90_A0A0S2VZA5
contig_1	40310	40666	-	HKCHME_00200	13.6	5.4		RefSeq:WP_116721602.1, SO:0001217, UniParc:UPI000D5EC5B8, UniRef:UniRef100_A0A2U1CGR5, UniRef:UniRef50_A0A2U1CGR5, UniRef:UniRef90_A0A2U1CGR5
contig_1	59745	59906	+	HKCHME_00290	6.0	4.3		RefSeq:WP_165366515.1, SO:0001217, UniParc:UPI000821BEBB, UniRef:UniRef100_A0A2U1CGM8, UniRef:UniRef50_A0A2U1CGM8, UniRef:UniRef90_A0A2U1CGM8
contig_1	75639	75830	+	HKCHME_00350	7.2	5.1		RefSeq:WP_033119185.1, SO:0001217, UniParc:UPI00051B54AF, UniRef:UniRef100_A0A2U1CGK9, UniRef:UniRef50_A0A0S2VZL6, UniRef:UniRef90_A0A0S2VZL6
contig_1	77766	77969	-	HKCHME_00365	7.9	4.6		RefSeq:WP_075704939.1, SO:0001217, UniParc:UPI0008202A39, UniRef:UniRef100_A0A2U1CGK2, UniRef:UniRef50_A0A0S2W0K1, UniRef:UniRef90_A0A2U1CGK2
contig_1	113943	114833	+	HKCHME_00525	32.2	8.5		RefSeq:WP_207215986.1, SO:0001217, UniParc:UPI000D5CBA39, UniRef:UniRef100_A0A2U1CGR9, UniRef:UniRef50_A0A0S2VZT2, UniRef:UniRef90_A0A0S2VZT2
contig_1	119807	119929	-	HKCHME_00555	4.7	4.6		RefSeq:WP_257534796.1, SO:0001217, UniParc:UPI000720AC0F, UniRef:UniRef100_A0A0S2W027, UniRef:UniRef50_C7H776, UniRef:UniRef90_A0A0S2W027
contig_1	140695	141219	+	HKCHME_00635	20.6	5.1		RefSeq:WP_116721569.1, SO:0001217, UniParc:UPI000D5D1A0D, UniRef:UniRef100_A0A2U1CGF0, UniRef:UniRef50_A0A2U1CGF0, UniRef:UniRef90_A0A2U1CGF0
contig_1	158539	158862	-	HKCHME_00715	11.6	9.6		RefSeq:WP_075704982.1, SO:0001217, UniParc:UPI0008207F8E, UniRef:UniRef100_A0A2U1CGD7, UniRef:UniRef50_A0A9D2NXB9, UniRef:UniRef90_A0A2U1CGD7
