#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	6049	7011	-	EMDHBN_00025	34.4	8.5		
contig_1	9925	11127	-	EMDHBN_00045	44.8	5.4	PF02746.20|MR_MLE_N, PF13378.10|MR_MLE_C	PFAM:PF02746.20, PFAM:PF13378.10
contig_1	15728	16624	+	EMDHBN_00070	33.9	5.6	PF00126.31|HTH_1	PFAM:PF00126.31
contig_1	17117	17446	-	EMDHBN_00080	11.9	5.0		SO:0001217, UniRef:UniRef50_UPI002041D884
contig_1	17692	19827	+	EMDHBN_00085	76.1	4.6	PF00395.24|SLH, PF16244.9|DUF4901	PFAM:PF00395.24, PFAM:PF16244.9, SO:0001217, UniRef:UniRef50_UPI00203FADD0
contig_1	24213	25478	-	EMDHBN_00105	46.6	9.5		
contig_1	40968	41165	-	EMDHBN_00180	7.5	6.6		
contig_1	43531	44085	-	EMDHBN_00195	20.6	5.8		
contig_1	48897	49217	-	EMDHBN_00225	11.6	8.7		SO:0001217, UniRef:UniRef50_UPI00203E5975
contig_1	51131	51658	-	EMDHBN_00240	20.0	5.1		
contig_1	65113	65244	+	EMDHBN_00300	4.9	10.0		
contig_1	65855	66439	+	EMDHBN_00305	22.2	9.3		
contig_1	66487	67155	+	EMDHBN_00310	24.7	4.7		
contig_1	67205	67783	-	EMDHBN_00315	20.0	6.3	PF12804.11|NTP_transf_3	PFAM:PF12804.11
contig_1	85388	85660	+	EMDHBN_00380	9.5	8.7		
contig_1	86504	86788	-	EMDHBN_00395	11.0	5.5	PF09851.13|SHOCT	PFAM:PF09851.13
contig_1	119684	121594	+	EMDHBN_00565	70.1	5.3		
contig_1	121788	121970	+	EMDHBN_00570	6.6	5.3		SO:0001217, UniRef:UniRef50_A0A3A9SQX3
contig_1	125824	126513	+	EMDHBN_00590	25.2	6.6	PF00072.28|Response_reg, PF08769.15|Spo0A_C	PFAM:PF00072.28, PFAM:PF08769.15
contig_1	131863	132825	+	EMDHBN_00610	33.6	4.8		SO:0001217, UniRef:UniRef50_UPI002408236E
contig_1	132809	133900	+	EMDHBN_00615	38.0	9.8		SO:0001217, UniRef:UniRef50_UPI00203CA670
contig_1	142672	145305	+	EMDHBN_00690	97.5	5.5	PF00391.27|PEP-utilizers, PF02896.22|PEP-utilizers_C	PFAM:PF00391.27, PFAM:PF02896.22
contig_1	152877	153254	+	EMDHBN_00730	13.5	9.1	PF12646.11|DUF3783	PFAM:PF12646.11
contig_1	183377	184570	-	EMDHBN_00875	42.0	4.6	PF00079.24|Serpin	PFAM:PF00079.24
contig_1	199102	199584	+	EMDHBN_00945	18.4	5.0		
contig_1	200293	201075	-	EMDHBN_00955	28.9	5.2	PF01026.25|TatD_DNase	PFAM:PF01026.25
contig_1	215462	215569	+	EMDHBN_01025	3.9	10.5		
contig_1	215678	216697	+	EMDHBN_01030	36.6	5.6	PF00793.24|DAHP_synth_1, PF03102.18|NeuB, PF18152.5|DAHP_snth_FXD	PFAM:PF00793.24, PFAM:PF03102.18, PFAM:PF18152.5
contig_1	232248	232649	+	EMDHBN_01150	14.5	9.7	PF00410.23|Ribosomal_S8	PFAM:PF00410.23
contig_1	242371	245364	+	EMDHBN_01245	106.5	4.6	PF00395.24|SLH	PFAM:PF00395.24
contig_1	245595	246008	-	EMDHBN_01250	15.2	5.1		
contig_1	246243	246647	+	EMDHBN_01255	15.2	5.0		
contig_1	246732	249494	-	EMDHBN_01260	96.6	4.8	PF00395.24|SLH	PFAM:PF00395.24
contig_1	250698	251843	-	EMDHBN_01275	38.9	5.5	PF00994.28|MoCF_biosynth	PFAM:PF00994.28
contig_1	266295	267002	+	EMDHBN_01355	25.2	6.0	PF00005.31|ABC_tran, PF13304.10|AAA_21	PFAM:PF00005.31, PFAM:PF13304.10
contig_1	276820	280737	-	EMDHBN_01400	147.2	5.1	PF00072.28|Response_reg, PF00512.29|HisKA, PF00989.29|PAS, PF02518.30|HATPase_c, PF08447.16|PAS_3, PF08448.14|PAS_4, PF13188.11|PAS_8, PF13426.11|PAS_9	PFAM:PF00072.28, PFAM:PF00512.29, PFAM:PF00989.29, PFAM:PF02518.30, PFAM:PF08447.16, PFAM:PF08448.14, PFAM:PF13188.11, PFAM:PF13426.11
contig_1	283277	284638	+	EMDHBN_01420	50.6	5.9	PF00285.25|Citrate_synt	PFAM:PF00285.25
contig_1	285326	285439	-	EMDHBN_01430	4.3	4.7		
contig_1	291746	296026	-	EMDHBN_01470	154.0	4.5	PF00395.24|SLH, PF02210.28|Laminin_G_2, PF07554.17|FIVAR, PF13385.10|Laminin_G_3, PF18998.4|Flg_new_2	PFAM:PF00395.24, PFAM:PF02210.28, PFAM:PF07554.17, PFAM:PF13385.10, PFAM:PF18998.4
contig_1	296390	296563	-	EMDHBN_01475	6.3	9.0		
contig_1	296653	297435	-	EMDHBN_01480	28.2	5.9		
contig_1	297950	298162	+	EMDHBN_01485	7.7	5.1	PF00313.26|CSD	PFAM:PF00313.26
contig_1	301285	302496	+	EMDHBN_01505	45.7	5.8	PF00180.24|Iso_dh	PFAM:PF00180.24
contig_1	317264	317500	+	EMDHBN_01575	8.5	6.2		SO:0001217, UniRef:UniRef50_UPI00203D44C9
contig_1	330907	331215	-	EMDHBN_01640	10.9	5.1		
contig_1	337283	338605	+	EMDHBN_01675	47.7	4.9		SO:0001217, UniRef:UniRef50_UPI00203CDEB0
