query,subject,pocp,pocpu
GCA_000010565.1_ASM1056v1_genomic,GCA_000169255.2_ASM16925v2_genomic,11.52902107998845,8.980652613341034
GCA_000010565.1_ASM1056v1_genomic,GCA_003112755.1_ASM311275v1_genomic,11.432696273889729,8.772171043585866
GCA_000010565.1_ASM1056v1_genomic,GCA_010508875.1_ASM1050887v1_genomic,13.68213660245184,9.800058377116171
GCA_000010565.1_ASM1056v1_genomic,GCA_943193085.1_Oscillospiraceae_gen_nov_DSM112226_genomic,12.6625325065013,10.042008401680336
GCA_000010565.1_ASM1056v1_genomic,GCF_004154955.1_ASM415495v1_genomic,14.61287693561532,10.757946210268948
GCA_000010565.1_ASM1056v1_genomic,GCF_014287895.1_ASM1428789v1_genomic,14.720290771175726,10.29551201011378
GCA_000010565.1_ASM1056v1_genomic,Pseudo,15.248480514837325,10.993922059349302
GCA_000169255.2_ASM16925v2_genomic,GCA_003112755.1_ASM311275v1_genomic,28.913016957423448,20.977186775649628
GCA_000169255.2_ASM16925v2_genomic,GCA_010508875.1_ASM1050887v1_genomic,37.28137860082305,26.022376543209873
GCA_000169255.2_ASM16925v2_genomic,GCA_943193085.1_Oscillospiraceae_gen_nov_DSM112226_genomic,25.806179301029886,21.534695255782545
GCA_000169255.2_ASM16925v2_genomic,GCF_004154955.1_ASM415495v1_genomic,32.13627992633518,24.791046890494403
GCA_000169255.2_ASM16925v2_genomic,GCF_014287895.1_ASM1428789v1_genomic,36.92084942084942,26.627137341423058
GCA_000169255.2_ASM16925v2_genomic,Pseudo,36.06167536054004,25.93586989874195
GCA_003112755.1_ASM311275v1_genomic,GCA_010508875.1_ASM1050887v1_genomic,33.33128154622676,22.8856333866798
GCA_003112755.1_ASM311275v1_genomic,GCA_943193085.1_Oscillospiraceae_gen_nov_DSM112226_genomic,24.210526315789473,20.279106858054227
GCA_003112755.1_ASM311275v1_genomic,GCF_004154955.1_ASM415495v1_genomic,27.450715635970834,20.733189305968132
GCA_003112755.1_ASM311275v1_genomic,GCF_014287895.1_ASM1428789v1_genomic,29.20121068561653,22.351625213843924
GCA_003112755.1_ASM311275v1_genomic,Pseudo,26.13983976693372,20.815731973780043
GCA_010508875.1_ASM1050887v1_genomic,GCA_943193085.1_Oscillospiraceae_gen_nov_DSM112226_genomic,27.47478201401949,22.909899128056075
GCA_010508875.1_ASM1050887v1_genomic,GCF_004154955.1_ASM415495v1_genomic,38.44667143879742,27.83822476735863
GCA_010508875.1_ASM1050887v1_genomic,GCF_014287895.1_ASM1428789v1_genomic,42.65812203956534,29.50682641404291
GCA_010508875.1_ASM1050887v1_genomic,Pseudo,34.0626939788951,26.187150837988828
GCA_943193085.1_Oscillospiraceae_gen_nov_DSM112226_genomic,GCF_004154955.1_ASM415495v1_genomic,30.10522213561964,24.95128604832424
GCA_943193085.1_Oscillospiraceae_gen_nov_DSM112226_genomic,GCF_014287895.1_ASM1428789v1_genomic,30.093896713615027,25.75586854460094
GCA_943193085.1_Oscillospiraceae_gen_nov_DSM112226_genomic,Pseudo,35.242866477891525,30.20039207144413
GCF_004154955.1_ASM415495v1_genomic,GCF_014287895.1_ASM1428789v1_genomic,36.12443894134035,28.19996904503947
GCF_004154955.1_ASM415495v1_genomic,Pseudo,36.292998079273616,27.510040160642568
GCF_014287895.1_ASM1428789v1_genomic,Pseudo,37.744932432432435,29.231418918918916
