# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	37	288	-	BEEJFJ_00005	ireB	IreB family regulatory phosphoprotein	RefSeq:WP_251444674.1, SO:0001217, UniParc:UPI00203F4B79, UniRef:UniRef100_UPI00203F4B79, UniRef:UniRef50_Q97IG2, UniRef:UniRef90_UPI00203F4B79
contig_1	cds	389	3097	-	BEEJFJ_00010	pheT	phenylalanine--tRNA ligase subunit beta	EC:6.1.1.20, GO:0004826, GO:0006432, GO:0009328, KEGG:K01890, RefSeq:WP_251444677.1, SO:0001217, UniParc:UPI002040D547, UniRef:UniRef100_UPI002040D547, UniRef:UniRef50_U2JYR8, UniRef:UniRef90_UPI002040D547
contig_1	cds	3145	3504	-	BEEJFJ_00015		Imm51 family immunity protein	RefSeq:WP_251444679.1, SO:0001217, UniParc:UPI00203BAEE0, UniRef:UniRef100_UPI00203BAEE0, UniRef:UniRef50_A0A845R4M6, UniRef:UniRef90_A0A845R4M6
contig_1	cds	3519	4544	-	BEEJFJ_00020	pheS	phenylalanine--tRNA ligase subunit alpha	EC:6.1.1.20, GO:0004826, GO:0006432, GO:0009328, KEGG:K01889, RefSeq:WP_251444682.1, SO:0001217, UniParc:UPI002040B52C, UniRef:UniRef100_UPI002040B52C, UniRef:UniRef50_Q1G9C7, UniRef:UniRef90_UPI002040B52C
contig_1	cds	4953	5822	+	BEEJFJ_00025		NAD(P)H-hydrate dehydratase	RefSeq:WP_251444685.1, SO:0001217, UniParc:UPI00204036A4, UniRef:UniRef100_UPI00204036A4, UniRef:UniRef50_UPI00204036A4, UniRef:UniRef90_UPI00204036A4
contig_1	cds	5826	6443	+	BEEJFJ_00030		hypothetical protein	RefSeq:WP_251444688.1, SO:0001217, UniParc:UPI00203BB00A, UniRef:UniRef100_UPI00203BB00A, UniRef:UniRef50_UPI00203BB00A, UniRef:UniRef90_UPI00203BB00A
contig_1	cds	6498	7649	+	BEEJFJ_00035	alr	alanine racemase	EC:5.1.1.1, GO:0008784, GO:0009252, KEGG:K01775, RefSeq:WP_251444691.1, SO:0001217, UniParc:UPI002042097F, UniRef:UniRef100_UPI002042097F, UniRef:UniRef50_A0A1C6IEI7, UniRef:UniRef90_UPI002042097F
contig_1	cds	7845	8210	+	BEEJFJ_00040		type II toxin-antitoxin system PemK/MazF family toxin	RefSeq:WP_251444694.1, SO:0001217, UniParc:UPI00203D16AA, UniRef:UniRef100_UPI00203D16AA, UniRef:UniRef50_Q9F7V5, UniRef:UniRef90_UPI00203D16AA
contig_1	cds	8291	8755	+	BEEJFJ_00045	pilP	Type IV pilus biogenesis protein PilP	RefSeq:WP_251444697.1, SO:0001217, UniParc:UPI0020400C8B, UniRef:UniRef100_UPI0020400C8B, UniRef:UniRef50_A0A1Y4BYE0, UniRef:UniRef90_UPI0020400C8B
contig_1	cds	8764	9258	+	BEEJFJ_00050		pyridoxamine 5'-phosphate oxidase family protein	RefSeq:WP_251444699.1, SO:0001217, UniParc:UPI00203DA82C, UniRef:UniRef100_UPI00203DA82C, UniRef:UniRef50_R9KHK5, UniRef:UniRef90_UPI00203DA82C
contig_1	cds	9315	10037	-	BEEJFJ_00055		hemolysin III family protein	RefSeq:WP_251444702.1, SO:0001217, UniParc:UPI0020407E5E, UniRef:UniRef100_UPI0020407E5E, UniRef:UniRef50_A0A644XQD7, UniRef:UniRef90_UPI0020407E5E
contig_1	cds	10195	10719	+	BEEJFJ_00060		ferritin family protein	RefSeq:WP_251444705.1, SO:0001217, UniParc:UPI00203ECC79, UniRef:UniRef100_UPI00203ECC79, UniRef:UniRef50_A0A0S2W7H6, UniRef:UniRef90_UPI00203ECC79
contig_1	cds	10716	11084	-	BEEJFJ_00065	spoVAE	stage V sporulation protein AE	GO:0003674, GO:0030436, KEGG:K06407, RefSeq:WP_251444708.1, SO:0001217, UniParc:UPI00203B81B4, UniRef:UniRef100_UPI00203B81B4, UniRef:UniRef50_A0A140L0Y1, UniRef:UniRef90_UPI00203B81B4
contig_1	cds	11098	12108	-	BEEJFJ_00070	spoVAD	stage V sporulation protein AD	GO:0003674, GO:0030436, KEGG:K06406, RefSeq:WP_251444711.1, SO:0001217, UniParc:UPI00203AE569, UniRef:UniRef100_UPI00203AE569, UniRef:UniRef50_V2YIN7, UniRef:UniRef90_UPI00203AE569
contig_1	cds	12262	12744	+	BEEJFJ_00075		N-acetyltransferase	RefSeq:WP_251444714.1, SO:0001217, UniParc:UPI00203C404B, UniRef:UniRef100_UPI00203C404B, UniRef:UniRef50_A0A0P8W5M9, UniRef:UniRef90_UPI00203C404B
