All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCA_000010565.1
# contigs (>= 0 bp)         1              
# contigs (>= 1000 bp)      1              
# contigs (>= 5000 bp)      1              
# contigs (>= 10000 bp)     1              
# contigs (>= 25000 bp)     1              
# contigs (>= 50000 bp)     1              
Total length (>= 0 bp)      3025375        
Total length (>= 1000 bp)   3025375        
Total length (>= 5000 bp)   3025375        
Total length (>= 10000 bp)  3025375        
Total length (>= 25000 bp)  3025375        
Total length (>= 50000 bp)  3025375        
# contigs                   1              
Largest contig              3025375        
Total length                3025375        
GC (%)                      52.96          
N50                         3025375        
N90                         3025375        
auN                         3025375.0      
L50                         1              
L90                         1              
# N's per 100 kbp           0.00           
