#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	10092	10358	+	MINILI_00050	9.9	10.0		RefSeq:WP_007490835.1, SO:0001217, UniParc:UPI0002420A22, UniRef:UniRef100_A0A174W0U6, UniRef:UniRef50_A0A174W0U6, UniRef:UniRef90_A0A174W0U6
contig_1	44244	44594	-	MINILI_00205	12.4	8.8		RefSeq:WP_007491012.1, SO:0001217, UniParc:UPI0002421698, UniRef:UniRef100_G9YR55, UniRef:UniRef50_A0A1Y4WAE2, UniRef:UniRef90_A0A096CRU2
contig_1	123506	123682	+	MINILI_00605	6.2	4.1		RefSeq:WP_155116983.1, SO:0001217, UniParc:UPI0002D846FE, UniRef:UniRef100_A0A6I7GBZ6, UniRef:UniRef50_A0A6L6LTP9, UniRef:UniRef90_A0A6I7GBZ6
contig_1	123675	123866	+	MINILI_00610	6.6	4.8		RefSeq:WP_007490263.1, SO:0001217, UniParc:UPI000242301D, UniRef:UniRef100_G9YQ76, UniRef:UniRef50_G9YQ76, UniRef:UniRef90_G9YQ76
contig_1	125774	126205	-	MINILI_00630	16.0	5.9		RefSeq:WP_163390220.1, SO:0001217, UniParc:UPI001398CEDD, UniRef:UniRef100_A0A6I7GDQ5, UniRef:UniRef50_G9YUD1, UniRef:UniRef90_G9YUD1
contig_1	126198	126446	-	MINILI_00635	9.0	4.3		RefSeq:WP_007493489.1, SO:0001217, UniParc:UPI000241F4C2, UniRef:UniRef100_G9YUD0, UniRef:UniRef50_A0A096BCW3, UniRef:UniRef90_G9YUD0
contig_1	126736	126930	-	MINILI_00645	7.1	5.4		RefSeq:WP_207740370.1, SO:0001217, UniParc:UPI000318BE88, UniRef:UniRef100_G9YUC8, UniRef:UniRef50_G9YUC8, UniRef:UniRef90_G9YUC8
contig_1	127051	127374	-	MINILI_00650	11.8	8.9		RefSeq:WP_039997557.1, SO:0001217, UniParc:UPI0005877EFF, UniRef:UniRef100_G9YUC7, UniRef:UniRef50_G9YUC7, UniRef:UniRef90_G9YUC7
contig_1	127976	128185	+	MINILI_00660	7.5	6.2		RefSeq:WP_039997554.1, SO:0001217, UniParc:UPI0005875FCF, UniRef:UniRef100_G9YU94, UniRef:UniRef50_G9YU94, UniRef:UniRef90_G9YU94
contig_1	141153	141278	+	MINILI_00735	4.6	4.1		RefSeq:WP_007493449.1, SO:0001217, UniParc:UPI000241F4AD, UniRef:UniRef100_A0A6N2YK83, UniRef:UniRef50_A0A6N2YK83, UniRef:UniRef90_A0A6N2YK83
contig_1	141992	142459	+	MINILI_00745	16.3	4.8		RefSeq:WP_007493444.1, SO:0001217, UniParc:UPI000241F4AB, UniRef:UniRef100_G9YUB2, UniRef:UniRef50_G9YUB2, UniRef:UniRef90_G9YUB2
contig_1	160247	160477	+	MINILI_00845	8.7	4.1		RefSeq:WP_007493408.1, SO:0001217, UniParc:UPI00024238A5, UniRef:UniRef100_A0A6I2RIQ3, UniRef:UniRef50_A0A6I2RIQ3, UniRef:UniRef90_A0A6I2RIQ3
contig_1	226771	227655	+	MINILI_01100	31.8	5.2		RefSeq:WP_155116962.1, SO:0001217, UniParc:UPI0002F683CA, UniRef:UniRef100_G9YN62, UniRef:UniRef50_A0A096B4X6, UniRef:UniRef90_A0A096B4X6
contig_1	236919	238214	+	MINILI_01120	47.3	4.3		RefSeq:WP_024724724.1, SO:0001217, UniParc:UPI000311CE77, UniRef:UniRef100_G9YLJ5, UniRef:UniRef50_G9YLJ5, UniRef:UniRef90_G9YLJ5
contig_1	256168	256293	+	MINILI_01210	4.9	4.4		RefSeq:WP_007488932.1, SO:0001217, UniParc:UPI000241FBE2, UniRef:UniRef100_G9YML6, UniRef:UniRef50_V2Y032, UniRef:UniRef90_G9YML6
contig_1	267706	268233	-	MINILI_01270	19.9	4.9		RefSeq:WP_007489530.1, SO:0001217, UniParc:UPI000242301B, UniRef:UniRef100_G9YNT9, UniRef:UniRef50_G9YNT9, UniRef:UniRef90_G9YNT9
contig_1	268230	269138	-	MINILI_01275	33.6	4.4		RefSeq:WP_163390232.1, SO:0001217, UniParc:UPI001397711F, UniRef:UniRef100_A0A6I7GIP7, UniRef:UniRef50_A0A6I7GIP7, UniRef:UniRef90_A0A6I7GIP7
contig_1	272267	272506	-	MINILI_01295	8.9	4.6		
contig_1	281485	281781	+	MINILI_01335	11.2	4.7		RefSeq:WP_007491846.1, SO:0001217, UniParc:UPI00024234EE, UniRef:UniRef100_A0A6I2R167, UniRef:UniRef50_A0A096D8R1, UniRef:UniRef90_A0A096D8R1
contig_1	301875	302069	+	MINILI_01435	7.0	4.7		RefSeq:WP_009259650.1, SO:0001217, UniParc:UPI000246BD2D, UniRef:UniRef100_G9YWN2, UniRef:UniRef50_G9YWN2, UniRef:UniRef90_G9YWN2
contig_1	357092	357292	+	MINILI_01700	6.9	11.5		SO:0001217, UniRef:UniRef50_A0A096AXT2, UniRef:UniRef90_A0A096AXT2
contig_1	364353	366497	+	MINILI_01730	77.8	5.4		RefSeq:WP_007487919.1, SO:0001217, UniParc:UPI0002422521, UniRef:UniRef100_G9YKR7, UniRef:UniRef50_A0A0S2VZ90, UniRef:UniRef90_A0A096DD65
contig_1	376567	376776	+	MINILI_01770	7.7	4.8		RefSeq:WP_007494718.1, SO:0001217, UniParc:UPI0002421109, UniRef:UniRef100_A0A174W7S8, UniRef:UniRef50_A0A0S2VZL6, UniRef:UniRef90_A0A174W7S8
contig_1	377971	378177	+	MINILI_01780	7.1	6.5		SO:0001217, UniParc:UPI0002421107, UniRef:UniRef100_A0A1Y4FEW1, UniRef:UniRef50_A0A1Y4WJ80, UniRef:UniRef90_A0A096B8T4
contig_1	391286	391507	-	MINILI_01840	8.5	4.3		RefSeq:WP_007494692.1, SO:0001217, UniParc:UPI00024210F9, UniRef:UniRef100_A0A174XIP8, UniRef:UniRef50_A0A174XIP8, UniRef:UniRef90_A0A174XIP8
contig_1	391906	392013	+	MINILI_01845	3.9	6.1		SO:0001217, UniRef:UniRef50_A0A096DD55, UniRef:UniRef90_A0A096DD55
contig_1	402292	402741	+	MINILI_01895	16.5	9.9		RefSeq:WP_007494667.1, SO:0001217, UniParc:UPI00024210EA, UniRef:UniRef100_A0A174XIT3, UniRef:UniRef50_A0A1C7FJ65, UniRef:UniRef90_A0A1C7FJ65
contig_1	491577	492209	-	MINILI_02375	24.6	4.6		RefSeq:WP_021683574.1, SO:0001217, UniParc:UPI0003AD37B2, UniRef:UniRef100_A0A174M964, UniRef:UniRef90_K1RBJ0
contig_1	497199	497384	+	MINILI_02400	7.1	5.2		RefSeq:WP_007488117.1, SO:0001217, UniParc:UPI000241F3E5, UniRef:UniRef100_A0A6I2RMF3, UniRef:UniRef50_A0A329UH61, UniRef:UniRef90_A0A1C5NEY9
contig_1	507211	508098	+	MINILI_02450	26.6	5.1	PF01391.22|Collagen	PFAM:PF01391.22
contig_1	545324	546205	+	MINILI_02630	32.0	9.3		RefSeq:WP_154250175.1, SO:0001217, UniParc:UPI0012AF8BDC, UniRef:UniRef100_G9YPZ6, UniRef:UniRef50_G9YPZ6, UniRef:UniRef90_G9YPZ6
contig_1	590763	591134	-	MINILI_02835	13.3	9.5		SO:0001217, UniParc:UPI00024216AC, UniRef:UniRef100_G9YR75, UniRef:UniRef50_G9YR75, UniRef:UniRef90_G9YR75
contig_1	600680	601336	-	MINILI_02880	23.2	4.5		RefSeq:WP_009257431.1, SO:0001217, UniParc:UPI000246BDC3, UniRef:UniRef100_A0A174WLF3, UniRef:UniRef50_A0A1C7FRP6, UniRef:UniRef90_A0A1C7FRP6
contig_1	604040	604336	+	MINILI_02895	10.9	5.6		RefSeq:WP_007493724.1, SO:0001217, UniParc:UPI000241F505, UniRef:UniRef100_A0A174NLA8, UniRef:UniRef50_A0A1C7FU21, UniRef:UniRef90_A0A1C7FU21
contig_1	646603	646908	-	MINILI_03095	11.0	6.6		RefSeq:WP_007495108.1, SO:0001217, UniParc:UPI0002421113, UniRef:UniRef100_A0A174VDV8, UniRef:UniRef50_A0A1Y4WGC1, UniRef:UniRef90_A0A174VDV8
contig_1	662726	662932	+	MINILI_03170	7.2	4.4		SO:0001217, UniParc:UPI0006C23D33, UniRef:UniRef100_A0A174VLV3, UniRef:UniRef50_A0A174VLV3, UniRef:UniRef90_A0A174VLV3
