#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	5826	6443	+	BEEJFJ_00030	22.3	4.3		RefSeq:WP_251444688.1, SO:0001217, UniParc:UPI00203BB00A, UniRef:UniRef100_UPI00203BB00A, UniRef:UniRef50_UPI00203BB00A, UniRef:UniRef90_UPI00203BB00A
contig_1	23489	24319	+	BEEJFJ_00130	28.7	11.7		
contig_1	24298	24621	+	BEEJFJ_00135	12.3	7.8		RefSeq:WP_251444750.1, SO:0001217, UniParc:UPI00203D61D9, UniRef:UniRef100_UPI00203D61D9, UniRef:UniRef50_UPI00203D61D9, UniRef:UniRef90_UPI00203D61D9
contig_1	53183	55240	-	BEEJFJ_00275	75.9	8.2		RefSeq:WP_251444827.1, SO:0001217, UniParc:UPI00203F3CAC, UniRef:UniRef100_UPI00203F3CAC, UniRef:UniRef50_UPI00203F3CAC, UniRef:UniRef90_UPI00203F3CAC
contig_1	62364	62513	+	BEEJFJ_00305	4.8	4.1		
contig_1	74669	74953	-	BEEJFJ_00360	9.3	4.2		RefSeq:WP_251444883.1, SO:0001217, UniParc:UPI00203F46EA, UniRef:UniRef100_UPI00203F46EA, UniRef:UniRef50_UPI00203F46EA, UniRef:UniRef90_UPI00203F46EA
contig_1	76649	80005	+	BEEJFJ_00370	125.2	8.8		RefSeq:WP_251444889.1, SO:0001217, UniParc:UPI00203FC4B4, UniRef:UniRef100_UPI00203FC4B4, UniRef:UniRef50_UPI0009518C53, UniRef:UniRef90_UPI00203FC4B4
contig_1	98437	98622	+	BEEJFJ_00460	7.0	5.0		RefSeq:WP_251444933.1, SO:0001217, UniParc:UPI00203A4C84, UniRef:UniRef100_UPI00203A4C84, UniRef:UniRef50_UPI00203A4C84, UniRef:UniRef90_UPI00203A4C84
contig_1	109435	110532	+	BEEJFJ_00485	43.0	6.3		RefSeq:WP_243282745.1, SO:0001217, UniParc:UPI0006C2F224, UniRef:UniRef100_A0A173YLC5, UniRef:UniRef50_A0A417HLK0, UniRef:UniRef90_A0A6I3QDH0
contig_1	110557	110655	+	BEEJFJ_00490	3.7	10.2		SO:0001217, UniParc:UPI0006C0ECF9, UniRef:UniRef100_A0A173YNM1, UniRef:UniRef50_A0A1C5YK05, UniRef:UniRef90_A0A1C5YK05
contig_1	111637	112158	+	BEEJFJ_00500	20.1	4.3		SO:0001217, UniRef:UniRef50_A0A6N7W5W3
contig_1	119736	120104	+	BEEJFJ_00550	13.2	4.1		RefSeq:WP_065533970.1, SO:0001217, UniParc:UPI0006BF576B, UniRef:UniRef100_A0A173YNI5, UniRef:UniRef50_A0A316M829, UniRef:UniRef90_C0EBU3
contig_1	127162	127257	+	BEEJFJ_00610	3.4	8.3		SO:0001217, UniParc:UPI000246CAD3, UniRef:UniRef100_A0A174WI60, UniRef:UniRef50_A0A1C5YIX0, UniRef:UniRef90_A0A174WI60
contig_1	137564	137938	+	BEEJFJ_00675	14.0	4.1		RefSeq:WP_055271787.1, SO:0001217, UniParc:UPI0006C48238, UniRef:UniRef100_A0A173YC83, UniRef:UniRef50_A0A1Y3S4A4, UniRef:UniRef90_A0A173YC83
contig_1	137968	138666	+	BEEJFJ_00680	26.0	6.2		SO:0001217, UniParc:UPI0006BFA7E8, UniRef:UniRef100_A0A173YCF7, UniRef:UniRef50_D9RA82, UniRef:UniRef90_A0A1C5YHL6
contig_1	142852	143001	+	BEEJFJ_00705	5.3	4.7		RefSeq:WP_164998286.1, SO:0001217, UniParc:UPI000820E28F, UniRef:UniRef100_A0A1C5YHA9, UniRef:UniRef50_C0EBX6, UniRef:UniRef90_A0A1C5YHA9
contig_1	152606	152761	-	BEEJFJ_00740	5.8	10.4		
contig_1	164777	165445	+	BEEJFJ_00805	24.6	4.9		RefSeq:WP_251444957.1, SO:0001217, UniParc:UPI0020417C09, UniRef:UniRef100_UPI0020417C09, UniRef:UniRef50_S0JH76, UniRef:UniRef90_UPI0020417C09
contig_1	166054	166488	+	BEEJFJ_00815	16.8	5.9		RefSeq:WP_251444963.1, SO:0001217, UniParc:UPI00203D9810, UniRef:UniRef100_UPI00203D9810, UniRef:UniRef50_UPI00195754E2, UniRef:UniRef90_UPI00203D9810
contig_1	173363	173485	+	BEEJFJ_00855	4.7	9.4		SO:0001217, UniParc:UPI00078B1E53, UniRef:UniRef100_A0A142BVK8, UniRef:UniRef50_A0A142BVK8, UniRef:UniRef90_A0A142BVK8
contig_1	192429	193502	-	BEEJFJ_00925	37.4	4.8		RefSeq:WP_251445007.1, SO:0001217, UniParc:UPI00203CBE7E, UniRef:UniRef100_UPI00203CBE7E, UniRef:UniRef50_UPI00203CBE7E, UniRef:UniRef90_UPI00203CBE7E
contig_1	230554	232005	+	BEEJFJ_01115	55.5	5.0		RefSeq:WP_251445120.1, SO:0001217, UniParc:UPI00203BDC50, UniRef:UniRef100_UPI00203BDC50, UniRef:UniRef50_UPI00203BDC50, UniRef:UniRef90_UPI00203BDC50
contig_1	233532	233897	+	BEEJFJ_01130	12.8	6.8		RefSeq:WP_251445128.1, SO:0001217, UniParc:UPI00203E3763, UniRef:UniRef100_UPI00203E3763, UniRef:UniRef50_UPI00203E3763, UniRef:UniRef90_UPI00203E3763
contig_1	233971	234219	+	BEEJFJ_01135	9.1	6.7		RefSeq:WP_251445131.1, SO:0001217, UniParc:UPI00203C8DC0, UniRef:UniRef100_UPI00203C8DC0, UniRef:UniRef50_UPI00203C8DC0, UniRef:UniRef90_UPI00203C8DC0
contig_1	234236	235033	+	BEEJFJ_01140	30.0	5.4		RefSeq:WP_251445134.1, SO:0001217, UniParc:UPI00203C564A, UniRef:UniRef100_UPI00203C564A, UniRef:UniRef50_UPI00203C564A, UniRef:UniRef90_UPI00203C564A
contig_2	5517	7682	-	BEEJFJ_01170	78.1	6.0		RefSeq:WP_251445169.1, SO:0001217, UniParc:UPI00204132D4, UniRef:UniRef100_UPI00204132D4, UniRef:UniRef50_A0A0S2VZ90, UniRef:UniRef90_UPI00204132D4
