# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	1	1026166	1029963	+	1645.5	1042	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	1	1022449	1026147	+	1275.1	812	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	77	68982	72671	+	241.1	404	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	342	64352	67030	+	540.0	549	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	1	987222	989189	+	749.4	476	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	157	119148	120956	+	503.1	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	1	28756	26945	-	717.6	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	1	96090	94777	-	255.8	267	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	77	445394	447781	+	522.2	462	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Fragmented	1	43488	41692	-	513.2	434	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	1	1074351	1073074	-	259.9	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	77	62345	63793	+	276.9	272	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	1	51061	49748	-	294.0	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	116	209585	208440	-	188.1	180	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	342	94424	95650	+	311.2	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Missing
462069at2	Complete	116	35506	36699	+	167.2	222	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	77	514649	513624	-	383.1	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	343	53819	52278	-	300.6	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	342	128465	127092	-	205.3	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	116	39327	40631	+	366.3	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	1	239723	240676	+	258.8	224	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	1	213901	215340	+	402.7	353	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	157	6475	4508	-	207.5	311	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	77	588560	589234	+	254.0	203	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Missing
841869at2	Complete	1	972339	973283	+	141.1	195	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	77	624093	625139	+	415.3	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	77	63804	64841	+	441.7	312	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	77	67689	68972	+	604.2	416	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	77	573704	575140	+	86.3	221	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	1	227318	228151	+	218.4	172	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	1	219087	220130	+	237.9	251	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	1	1004753	1005646	+	211.3	210	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	116	325410	326513	+	244.9	225	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	77	470828	472141	+	421.7	307	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	1	900980	902836	+	219.2	316	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	77	604408	605130	+	152.3	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Fragmented	77	66423	67598	+	239.3	267	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	77	18914	20002	+	395.8	329	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Fragmented	1	309697	308801	-	122.3	146	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	1	970552	972252	+	264.5	359	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	1	704924	706078	+	385.2	264	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	342	113777	115174	+	280.3	323	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	1	228800	229657	+	185.7	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	116	318386	319396	+	229.7	247	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	116	203710	202835	-	120.7	118	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	1	239043	239645	+	184.5	164	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	342	75692	74682	-	201.7	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	116	36842	37615	+	335.1	249	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	1	225646	226371	+	144.3	161	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	116	312788	313792	+	130.8	156	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	157	107716	108921	+	330.7	288	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	77	608526	609620	+	116.9	155	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	1	232665	233213	+	149.0	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	1	955673	956674	+	258.6	260	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	1	231309	231869	+	224.9	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	77	102979	102437	-	85.9	106	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Missing
1491686at2	Complete	1	236133	236768	+	124.7	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	116	152470	151973	-	30.9	66	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	342	22433	21825	-	248.3	189	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	116	202831	201923	-	141.2	217	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	1	233609	234109	+	214.9	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	77	301321	301791	+	201.8	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	1	234763	236112	+	298.8	299	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	1	226390	227004	+	128.7	101	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	1	962238	962732	+	106.1	138	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	1	48886	48164	-	56.0	84	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	77	50329	51639	+	472.1	375	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	116	210064	209609	-	38.5	46	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	77	207296	208003	+	265.3	187	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	1	1110305	1109703	-	154.4	152	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	1	228452	228784	+	100.0	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	77	103964	103272	-	220.3	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	77	605132	605686	+	159.3	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	1	115296	114703	-	119.9	103	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	1	232248	232649	+	191.7	131	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	77	568117	568458	+	112.2	85	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Missing
1702697at2	Complete	77	104408	103983	-	127.0	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	77	300682	301116	+	173.7	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	1	238624	239022	+	154.7	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	1	433685	433218	-	203.0	143	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	1	1005870	1006628	+	42.6	87	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	342	84404	83769	-	94.0	86	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	1	610678	610274	-	115.1	99	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	1	238243	238611	+	150.5	100	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	1	825407	825706	+	43.4	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	1	229658	230095	+	150.9	103	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	1	230588	230956	+	127.5	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	1	611129	610698	-	121.7	110	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	77	102392	102018	-	88.9	84	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	77	491888	492313	+	74.3	73	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	1	902833	903384	+	88.8	91	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Fragmented	1	1004201	1004743	+	56.9	56	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	1	240702	241043	+	85.0	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	116	65398	64415	-	36.6	82	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Duplicated	77	617814	616903	-	159.1	179	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1844275at2	Duplicated	77	146890	145832	-	141.7	176	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	1	903417	903914	+	108.2	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	1	234321	234761	+	74.5	86	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	77	450538	451206	+	64.3	87	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	1	228165	228437	+	135.7	72	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	1	158517	158233	-	116.0	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	1	851783	851223	-	46.3	71	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	342	83493	83137	-	105.5	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	116	153012	152773	-	116.4	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Missing
1940575at2	Complete	1	826221	826460	+	87.5	48	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
